model,source,category,subtype,label,rows
deepseek7b,phase290,recursive,pp_chain,off_manifold_functional_failure,1
deepseek7b,phase290,recursive,pp_chain,off_manifold_no_drop,5
deepseek7b,phase290,recursive,relative_clause,norm_normal_functional_failure,5
deepseek7b,phase290,recursive,relative_clause,off_manifold_no_drop,2
deepseek7b,phase291,logical,and_or,norm_normal_functional_failure,23
deepseek7b,phase291,logical,causal,norm_normal_functional_failure,29
deepseek7b,phase291,logical,causal,off_manifold_functional_failure,2
deepseek7b,phase291,logical,causal,off_manifold_no_drop,7
deepseek7b,phase291,logical,conditional,norm_normal_functional_failure,30
deepseek7b,phase291,logical,conditional,off_manifold_functional_failure,6
deepseek7b,phase291,logical,conditional,off_manifold_no_drop,24
deepseek7b,phase291,logical,contrast,norm_normal_functional_failure,27
deepseek7b,phase291,logical,contrast,off_manifold_functional_failure,1
deepseek7b,phase291,logical,contrast,off_manifold_no_drop,19
deepseek7b,phase291,logical,inference,norm_normal_functional_failure,28
deepseek7b,phase291,logical,inference,off_manifold_functional_failure,3
deepseek7b,phase291,logical,inference,off_manifold_no_drop,43
deepseek7b,phase291,negation,existential_no,norm_normal_functional_failure,13
deepseek7b,phase291,negation,existential_no,off_manifold_no_drop,20
deepseek7b,phase291,negation,lexical_not_adj,norm_normal_functional_failure,14
deepseek7b,phase291,negation,morphological_neg,norm_normal_functional_failure,13
deepseek7b,phase291,negation,never,norm_normal_functional_failure,17
deepseek7b,phase291,negation,never,off_manifold_functional_failure,1
deepseek7b,phase291,negation,never,off_manifold_no_drop,15
deepseek7b,phase291,negation,scope_quantifier,norm_normal_functional_failure,8
deepseek7b,phase291,negation,scope_quantifier,off_manifold_functional_failure,3
deepseek7b,phase291,negation,scope_quantifier,off_manifold_no_drop,31
deepseek7b,phase291,negation,syntactic_do_not,norm_normal_functional_failure,19
deepseek7b,phase291,negation,syntactic_do_not,off_manifold_functional_failure,7
deepseek7b,phase291,negation,syntactic_do_not,off_manifold_no_drop,89
deepseek7b,phase291,passive,by_phrase,norm_normal_functional_failure,27
deepseek7b,phase291,passive,by_phrase,off_manifold_no_drop,4
deepseek7b,phase291,passive,dative_passive,norm_normal_functional_failure,28
deepseek7b,phase291,passive,dative_passive,off_manifold_no_drop,4
deepseek7b,phase291,passive,get_passive,norm_normal_functional_failure,35
deepseek7b,phase291,passive,get_passive,off_manifold_functional_failure,2
deepseek7b,phase291,passive,get_passive,off_manifold_no_drop,14
deepseek7b,phase291,passive,no_agent,norm_normal_functional_failure,13
deepseek7b,phase291,passive,no_agent,off_manifold_functional_failure,4
deepseek7b,phase291,passive,no_agent,off_manifold_no_drop,92
deepseek7b,phase291,recursive,complement_clause,norm_normal_functional_failure,24
deepseek7b,phase291,recursive,complement_clause,off_manifold_functional_failure,4
deepseek7b,phase291,recursive,complement_clause,off_manifold_no_drop,120
deepseek7b,phase291,recursive,possessive_chain,norm_normal_functional_failure,26
deepseek7b,phase291,recursive,pp_chain,norm_normal_functional_failure,48
deepseek7b,phase291,recursive,pp_chain,off_manifold_functional_failure,3
deepseek7b,phase291,recursive,pp_chain,off_manifold_no_drop,15
deepseek7b,phase291,recursive,relative_clause,norm_normal_functional_failure,20
deepseek7b,phase291,recursive,relative_clause,off_manifold_no_drop,4
glm4,phase290,logical,and_or,norm_normal_functional_failure,11
glm4,phase290,logical,and_or,off_manifold_no_drop,8
glm4,phase290,logical,causal,norm_normal_functional_failure,11
glm4,phase290,logical,causal,off_manifold_functional_failure,1
glm4,phase290,logical,causal,off_manifold_no_drop,9
glm4,phase290,logical,conditional,norm_normal_functional_failure,17
glm4,phase290,logical,conditional,off_manifold_no_drop,3
glm4,phase290,logical,contrast,norm_normal_functional_failure,9
glm4,phase290,logical,inference,norm_normal_functional_failure,14
glm4,phase290,logical,inference,off_manifold_no_drop,15
glm4,phase290,negation,existential_no,norm_normal_functional_failure,18
glm4,phase290,negation,existential_no,off_manifold_no_drop,8
glm4,phase290,negation,lexical_not_adj,norm_normal_functional_failure,42
glm4,phase290,negation,morphological_neg,norm_normal_functional_failure,10
glm4,phase290,negation,never,norm_normal_functional_failure,22
glm4,phase290,negation,never,off_manifold_no_drop,3
glm4,phase290,negation,scope_quantifier,norm_normal_functional_failure,27
glm4,phase290,negation,syntactic_do_not,norm_normal_functional_failure,40
glm4,phase290,passive,by_phrase,norm_normal_functional_failure,39
glm4,phase290,passive,dative_passive,norm_normal_functional_failure,44
glm4,phase290,passive,dative_passive,off_manifold_no_drop,6
glm4,phase290,passive,get_passive,norm_normal_functional_failure,47
glm4,phase290,passive,no_agent,norm_normal_functional_failure,11
glm4,phase290,passive,no_agent,off_manifold_no_drop,2
glm4,phase290,recursive,complement_clause,norm_normal_functional_failure,45
glm4,phase290,recursive,complement_clause,off_manifold_functional_failure,3
glm4,phase290,recursive,complement_clause,off_manifold_no_drop,18
glm4,phase290,recursive,possessive_chain,norm_normal_functional_failure,41
glm4,phase290,recursive,possessive_chain,off_manifold_no_drop,9
glm4,phase290,recursive,pp_chain,norm_normal_functional_failure,41
glm4,phase290,recursive,pp_chain,off_manifold_functional_failure,1
glm4,phase290,recursive,pp_chain,off_manifold_no_drop,33
glm4,phase290,recursive,relative_clause,norm_normal_functional_failure,48
glm4,phase290,recursive,relative_clause,off_manifold_functional_failure,1
glm4,phase290,recursive,relative_clause,off_manifold_no_drop,8
glm4,phase291,logical,and_or,norm_normal_functional_failure,42
glm4,phase291,logical,and_or,off_manifold_functional_failure,3
glm4,phase291,logical,and_or,off_manifold_no_drop,21
glm4,phase291,logical,causal,norm_normal_functional_failure,43
glm4,phase291,logical,causal,off_manifold_functional_failure,5
glm4,phase291,logical,causal,off_manifold_no_drop,39
glm4,phase291,logical,conditional,norm_normal_functional_failure,45
glm4,phase291,logical,conditional,off_manifold_functional_failure,3
glm4,phase291,logical,conditional,off_manifold_no_drop,6
glm4,phase291,logical,contrast,norm_normal_functional_failure,48
glm4,phase291,logical,inference,norm_normal_functional_failure,42
glm4,phase291,logical,inference,off_manifold_functional_failure,6
glm4,phase291,logical,inference,off_manifold_no_drop,30
glm4,phase291,negation,existential_no,norm_normal_functional_failure,30
glm4,phase291,negation,existential_no,off_manifold_functional_failure,1
glm4,phase291,negation,existential_no,off_manifold_no_drop,23
glm4,phase291,negation,lexical_not_adj,norm_normal_functional_failure,45
glm4,phase291,negation,morphological_neg,norm_normal_functional_failure,36
glm4,phase291,negation,never,norm_normal_functional_failure,33
glm4,phase291,negation,never,off_manifold_no_drop,9
glm4,phase291,negation,scope_quantifier,norm_normal_functional_failure,31
glm4,phase291,negation,syntactic_do_not,norm_normal_functional_failure,46
glm4,phase291,passive,by_phrase,norm_normal_functional_failure,47
glm4,phase291,passive,dative_passive,norm_normal_functional_failure,48
glm4,phase291,passive,dative_passive,off_manifold_no_drop,18
glm4,phase291,passive,get_passive,norm_normal_functional_failure,46
glm4,phase291,passive,no_agent,norm_normal_functional_failure,48
glm4,phase291,passive,no_agent,off_manifold_no_drop,6
glm4,phase291,recursive,complement_clause,norm_normal_functional_failure,38
glm4,phase291,recursive,complement_clause,off_manifold_functional_failure,9
glm4,phase291,recursive,complement_clause,off_manifold_no_drop,45
glm4,phase291,recursive,possessive_chain,norm_normal_functional_failure,46
glm4,phase291,recursive,possessive_chain,off_manifold_no_drop,27
glm4,phase291,recursive,pp_chain,norm_normal_functional_failure,47
glm4,phase291,recursive,pp_chain,off_manifold_no_drop,86
glm4,phase291,recursive,relative_clause,norm_normal_functional_failure,40
glm4,phase291,recursive,relative_clause,off_manifold_functional_failure,3
glm4,phase291,recursive,relative_clause,off_manifold_no_drop,24
qwen3,phase290,logical,and_or,norm_normal_functional_failure,8
qwen3,phase290,logical,causal,norm_normal_functional_failure,8
qwen3,phase290,logical,causal,off_manifold_no_drop,13
qwen3,phase290,logical,conditional,norm_normal_functional_failure,9
qwen3,phase290,logical,conditional,off_manifold_no_drop,5
qwen3,phase290,logical,contrast,norm_normal_functional_failure,9
qwen3,phase290,logical,contrast,off_manifold_functional_failure,1
qwen3,phase290,logical,contrast,off_manifold_no_drop,19
qwen3,phase290,logical,inference,norm_normal_functional_failure,8
qwen3,phase290,logical,inference,off_manifold_no_drop,16
qwen3,phase290,negation,existential_no,norm_normal_functional_failure,9
qwen3,phase290,negation,existential_no,off_manifold_no_drop,2
qwen3,phase290,negation,lexical_not_adj,norm_normal_functional_failure,18
qwen3,phase290,negation,lexical_not_adj,off_manifold_no_drop,2
qwen3,phase290,negation,morphological_neg,norm_normal_functional_failure,6
qwen3,phase290,negation,never,norm_normal_functional_failure,11
qwen3,phase290,negation,scope_quantifier,norm_normal_functional_failure,8
qwen3,phase290,negation,scope_quantifier,off_manifold_no_drop,19
qwen3,phase290,negation,syntactic_do_not,norm_normal_functional_failure,7
qwen3,phase290,negation,syntactic_do_not,off_manifold_no_drop,5
qwen3,phase290,passive,by_phrase,norm_normal_functional_failure,25
qwen3,phase290,passive,dative_passive,norm_normal_functional_failure,17
qwen3,phase290,passive,dative_passive,off_manifold_no_drop,6
qwen3,phase290,passive,get_passive,norm_normal_functional_failure,16
qwen3,phase290,passive,get_passive,off_manifold_no_drop,6
qwen3,phase290,passive,no_agent,norm_normal_functional_failure,11
qwen3,phase290,passive,no_agent,off_manifold_no_drop,47
qwen3,phase290,recursive,complement_clause,norm_normal_functional_failure,6
qwen3,phase290,recursive,possessive_chain,norm_normal_functional_failure,24
qwen3,phase290,recursive,pp_chain,norm_normal_functional_failure,9
qwen3,phase290,recursive,pp_chain,off_manifold_no_drop,6
qwen3,phase290,recursive,relative_clause,norm_normal_functional_failure,12
qwen3,phase291,logical,and_or,norm_normal_functional_failure,40
qwen3,phase291,logical,causal,norm_normal_functional_failure,39
qwen3,phase291,logical,conditional,norm_normal_functional_failure,40
qwen3,phase291,logical,contrast,norm_normal_functional_failure,41
qwen3,phase291,logical,inference,norm_normal_functional_failure,40
qwen3,phase291,logical,inference,off_manifold_no_drop,12
qwen3,phase291,negation,existential_no,norm_normal_functional_failure,20
qwen3,phase291,negation,lexical_not_adj,norm_normal_functional_failure,19
qwen3,phase291,negation,morphological_neg,norm_normal_functional_failure,30
qwen3,phase291,negation,never,norm_normal_functional_failure,26
qwen3,phase291,negation,scope_quantifier,norm_normal_functional_failure,18
qwen3,phase291,negation,scope_quantifier,off_manifold_no_drop,50
qwen3,phase291,negation,syntactic_do_not,norm_normal_functional_failure,12
qwen3,phase291,passive,by_phrase,norm_normal_functional_failure,21
qwen3,phase291,passive,dative_passive,norm_normal_functional_failure,21
qwen3,phase291,passive,get_passive,norm_normal_functional_failure,14
qwen3,phase291,passive,no_agent,norm_normal_functional_failure,39
qwen3,phase291,passive,no_agent,off_manifold_no_drop,43
qwen3,phase291,recursive,complement_clause,norm_normal_functional_failure,9
qwen3,phase291,recursive,possessive_chain,norm_normal_functional_failure,21
qwen3,phase291,recursive,pp_chain,norm_normal_functional_failure,10
qwen3,phase291,recursive,pp_chain,off_manifold_no_drop,9
qwen3,phase291,recursive,relative_clause,norm_normal_functional_failure,14
