subtype,category,model_a,model_b,vector_set,similarity
contrast,logical,qwen3,deepseek7b,zscore_model,-0.18625228695069104
contrast,logical,qwen3,glm4,zscore_model,0.5877039435537248
dative_passive,passive,glm4,deepseek7b,zscore_model,0.24092655723260054
dative_passive,passive,qwen3,deepseek7b,zscore_model,-0.21309349173397887
dative_passive,passive,qwen3,glm4,zscore_model,-0.3688291206193275
existential_no,negation,glm4,deepseek7b,zscore_model,-0.05297205561749651
existential_no,negation,qwen3,deepseek7b,zscore_model,-0.11049671570021834
existential_no,negation,qwen3,glm4,zscore_model,0.659530950442529
get_passive,passive,glm4,deepseek7b,zscore_model,-0.0035671800628896497
get_passive,passive,qwen3,deepseek7b,zscore_model,-0.3040817205497387
get_passive,passive,qwen3,glm4,zscore_model,0.020167459402391497
inference,logical,glm4,deepseek7b,zscore_model,-0.059489349490454015
inference,logical,qwen3,deepseek7b,zscore_model,0.10080364001958313
inference,logical,qwen3,glm4,zscore_model,0.5619070871260413
lexical_not_adj,negation,glm4,deepseek7b,zscore_model,-0.25010940837305634
lexical_not_adj,negation,qwen3,deepseek7b,zscore_model,-0.1575267302431781
lexical_not_adj,negation,qwen3,glm4,zscore_model,0.7352313529223548
morphological_neg,negation,glm4,deepseek7b,zscore_model,0.20737659911680217
morphological_neg,negation,qwen3,deepseek7b,zscore_model,-0.040956293370167506
morphological_neg,negation,qwen3,glm4,zscore_model,0.6810668622459337
never,negation,glm4,deepseek7b,zscore_model,-0.050267083268808875
never,negation,qwen3,deepseek7b,zscore_model,0.17269679711117153
never,negation,qwen3,glm4,zscore_model,0.41610910057534556
no_agent,passive,glm4,deepseek7b,zscore_model,0.10690882898855089
no_agent,passive,qwen3,deepseek7b,zscore_model,0.1530149050749408
no_agent,passive,qwen3,glm4,zscore_model,0.5608207228180971
possessive_chain,recursive,glm4,deepseek7b,zscore_model,0.34054785400369975
possessive_chain,recursive,qwen3,deepseek7b,zscore_model,-0.31142524233050123
possessive_chain,recursive,qwen3,glm4,zscore_model,0.1882473904120938
pp_chain,recursive,glm4,deepseek7b,zscore_model,0.02754268190248384
pp_chain,recursive,qwen3,deepseek7b,zscore_model,-0.14656351311702123
pp_chain,recursive,qwen3,glm4,zscore_model,0.6487107234781696
relative_clause,recursive,glm4,deepseek7b,zscore_model,-0.22689389284519476
relative_clause,recursive,qwen3,deepseek7b,zscore_model,0.35933263869755505
relative_clause,recursive,qwen3,glm4,zscore_model,0.25431060676285516
scope_quantifier,negation,glm4,deepseek7b,zscore_model,0.035901227982453696
scope_quantifier,negation,qwen3,deepseek7b,zscore_model,-0.16718974812440812
scope_quantifier,negation,qwen3,glm4,zscore_model,0.41710576042639125
syntactic_do_not,negation,glm4,deepseek7b,zscore_model,-0.18127952987661564
syntactic_do_not,negation,qwen3,deepseek7b,zscore_model,-0.046458016814494074
syntactic_do_not,negation,qwen3,glm4,zscore_model,0.3602361277134805
