model,model,a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
qwen3,qwen3,casual,complement_clause,style,recursive,False,0.795195,-0.610233,-0.083026,-0.610233,-0.204094,-0.610233,ordinary
qwen3,qwen3,casual,concise,style,style,True,0.728061,0.608700,-0.293905,0.608700,0.494496,-0.293905,ordinary
qwen3,qwen3,casual,conditional,style,logical,False,0.877185,-0.140434,0.421610,-0.140434,0.113516,-0.140434,ordinary
qwen3,qwen3,casual,contrast,style,logical,False,0.885368,0.024405,0.393127,0.024405,0.121828,0.024405,ordinary
qwen3,qwen3,casual,dative_passive,style,passive,False,0.850441,-0.521958,0.140720,-0.521958,-0.335513,-0.521958,ordinary
qwen3,qwen3,casual,deep_complement,style,recursive,False,0.828706,0.142860,-0.067827,0.142860,-0.001367,-0.067827,ordinary
qwen3,qwen3,casual,deictic_switch,style,coreference,False,0.937719,0.390444,0.029043,0.390444,-0.028741,0.029043,category_curve_artifact_candidate
qwen3,qwen3,casual,double_relative,style,recursive,False,0.947568,0.692542,0.309477,0.692542,0.607689,0.309477,residual_stable_reuse_candidate
qwen3,qwen3,casual,en_fr_phrase,style,translation,False,0.927205,0.276728,0.246860,0.276728,0.049589,0.246860,ordinary
qwen3,qwen3,casual,en_fr_word,style,translation,False,0.893601,-0.049093,-0.102057,-0.049093,-0.235561,-0.102057,ordinary
qwen3,qwen3,casual,en_zh_phrase,style,translation,False,0.873308,-0.130359,-0.298508,-0.130359,-0.289722,-0.298508,ordinary
qwen3,qwen3,casual,en_zh_word,style,translation,False,0.933926,0.331210,0.010208,0.331210,0.112550,0.010208,category_curve_artifact_candidate
qwen3,qwen3,casual,existential_no,style,negation,False,0.837981,-0.481729,0.012082,-0.481729,-0.151985,-0.481729,ordinary
qwen3,qwen3,casual,formal,style,style,True,0.906609,0.090389,-0.143374,0.090389,-0.042030,-0.143374,model_curve_artifact_candidate
qwen3,qwen3,casual,future_will,style,tense,False,0.894683,-0.095142,-0.459773,-0.095142,-0.046415,-0.459773,ordinary
qwen3,qwen3,casual,get_passive,style,passive,False,0.799325,-0.479987,-0.198422,-0.479987,-0.133454,-0.479987,ordinary
qwen3,qwen3,casual,he_coref,style,coreference,False,0.897644,0.269083,0.106454,0.269083,-0.021852,0.106454,ordinary
qwen3,qwen3,casual,inference,style,logical,False,0.887846,0.009892,0.375454,0.009892,0.094235,0.009892,ordinary
qwen3,qwen3,casual,it_coref,style,coreference,False,0.891444,0.657145,-0.287415,0.657145,0.488052,-0.287415,ordinary
qwen3,qwen3,casual,lexical_not_adj,style,negation,False,0.812563,-0.718243,-0.224430,-0.718243,-0.331229,-0.718243,ordinary
qwen3,qwen3,casual,long_passive,style,passive,False,0.890011,-0.164632,-0.047095,-0.164632,-0.434717,-0.164632,ordinary
qwen3,qwen3,casual,morphological_neg,style,negation,False,0.899576,0.148992,0.568261,0.148992,0.325959,0.148992,ordinary
qwen3,qwen3,casual,negated_condition,style,logical,False,0.889391,-0.061556,-0.226302,-0.061556,-0.248290,-0.226302,ordinary
qwen3,qwen3,casual,nested_condition,style,logical,False,0.793951,-0.355615,-0.422331,-0.355615,-0.327785,-0.422331,ordinary
qwen3,qwen3,casual,nested_contrast,style,logical,False,0.774323,-0.175188,-0.393592,-0.175188,-0.134450,-0.393592,ordinary
qwen3,qwen3,casual,nested_passive,style,passive,False,0.851195,-0.270610,-0.095275,-0.270610,-0.362507,-0.270610,ordinary
qwen3,qwen3,casual,never,style,negation,False,0.835825,-0.681647,-0.122589,-0.681647,-0.434490,-0.681647,ordinary
qwen3,qwen3,casual,no_agent,style,passive,False,0.865818,-0.099176,0.368110,-0.099176,0.041251,-0.099176,ordinary
qwen3,qwen3,casual,past_simple,style,tense,False,0.940979,0.423417,0.527981,0.423417,0.197903,0.423417,residual_stable_reuse_candidate
qwen3,qwen3,casual,perfect,style,tense,False,0.893507,-0.081400,-0.304223,-0.081400,-0.091695,-0.304223,ordinary
qwen3,qwen3,casual,poetic,style,style,True,0.916660,0.115947,0.020088,0.115947,-0.031436,0.020088,category_curve_artifact_candidate
qwen3,qwen3,casual,possessive_chain,style,recursive,False,0.807565,-0.414949,-0.020509,-0.414949,-0.191696,-0.414949,ordinary
qwen3,qwen3,casual,pp_chain,style,recursive,False,0.814514,-0.642213,-0.096793,-0.642213,-0.373266,-0.642213,ordinary
qwen3,qwen3,casual,progressive,style,tense,False,0.890859,-0.160036,-0.519450,-0.160036,-0.167234,-0.519450,ordinary
qwen3,qwen3,casual,relative_clause,style,recursive,False,0.812317,-0.321307,0.017324,-0.321307,0.093274,-0.321307,ordinary
qwen3,qwen3,casual,scope_quantifier,style,negation,False,0.831365,-0.680077,0.068604,-0.680077,-0.505123,-0.680077,ordinary
qwen3,qwen3,casual,she_coref,style,coreference,False,0.976077,0.792761,0.295298,0.792761,0.480987,0.295298,residual_stable_reuse_candidate
qwen3,qwen3,casual,syntactic_do_not,style,negation,False,0.738934,-0.778065,-0.476549,-0.778065,-0.618663,-0.778065,ordinary
qwen3,qwen3,casual,target_language_switch,style,translation,False,0.961857,0.669414,0.160910,0.669414,0.623750,0.160910,ordinary
qwen3,qwen3,casual,they_coref,style,coreference,False,0.983341,0.886478,0.180910,0.886478,0.701674,0.180910,ordinary
qwen3,qwen3,causal,center_embedding,logical,recursive,False,0.794346,-0.633312,-0.427261,-0.633312,-0.515488,-0.633312,ordinary
qwen3,qwen3,causal,complement_clause,logical,recursive,False,0.893239,0.035805,0.228657,0.035805,-0.489568,0.035805,ordinary
qwen3,qwen3,causal,concise,logical,style,False,0.502961,-0.163717,0.005046,-0.163717,-0.264871,-0.163717,stable_differentiation_candidate
qwen3,qwen3,causal,conditional,logical,logical,True,0.982558,0.810051,0.694763,0.810051,0.745161,0.694763,residual_stable_reuse_candidate
qwen3,qwen3,causal,contrast,logical,logical,True,0.989937,0.901661,0.849965,0.901661,0.636189,0.849965,residual_stable_reuse_candidate
qwen3,qwen3,causal,dative_passive,logical,passive,False,0.950888,0.414443,0.447028,0.414443,0.089160,0.414443,residual_stable_reuse_candidate
qwen3,qwen3,causal,deep_complement,logical,recursive,False,0.735602,-0.520595,-0.464502,-0.520595,-0.395296,-0.520595,ordinary
qwen3,qwen3,causal,deictic_switch,logical,coreference,False,0.916141,-0.012192,0.072213,-0.012192,0.287206,-0.012192,model_curve_artifact_candidate
qwen3,qwen3,causal,double_relative,logical,recursive,False,0.832956,-0.153877,0.140166,-0.153877,-0.132002,-0.153877,ordinary
qwen3,qwen3,causal,en_fr_phrase,logical,translation,False,0.916092,-0.018517,0.148962,-0.018517,0.448140,-0.018517,model_curve_artifact_candidate
qwen3,qwen3,causal,en_fr_word,logical,translation,False,0.906445,-0.100307,-0.073634,-0.100307,0.348731,-0.100307,model_curve_artifact_candidate
qwen3,qwen3,causal,en_zh_phrase,logical,translation,False,0.887323,-0.177220,-0.144415,-0.177220,0.236241,-0.177220,ordinary
qwen3,qwen3,causal,en_zh_word,logical,translation,False,0.916119,-0.056697,0.179070,-0.056697,0.541803,-0.056697,model_curve_artifact_candidate
qwen3,qwen3,causal,existential_no,logical,negation,False,0.946073,0.422498,-0.014743,0.422498,0.049571,-0.014743,category_curve_artifact_candidate
qwen3,qwen3,causal,formal,logical,style,False,0.866661,-0.557162,-0.187745,-0.557162,-0.265023,-0.557162,ordinary
qwen3,qwen3,causal,future_will,logical,tense,False,0.891518,-0.360500,-0.330145,-0.360500,-0.036994,-0.360500,ordinary
qwen3,qwen3,causal,get_passive,logical,passive,False,0.874476,-0.054600,-0.233094,-0.054600,-0.466214,-0.233094,ordinary
qwen3,qwen3,causal,he_coref,logical,coreference,False,0.874395,-0.018641,0.037475,-0.018641,0.250367,-0.018641,ordinary
qwen3,qwen3,causal,inference,logical,logical,True,0.986240,0.857855,0.774448,0.857855,0.722421,0.774448,residual_stable_reuse_candidate
qwen3,qwen3,causal,it_coref,logical,coreference,False,0.715578,-0.249390,-0.206045,-0.249390,-0.238679,-0.249390,ordinary
qwen3,qwen3,causal,lexical_not_adj,logical,negation,False,0.934702,0.299914,-0.236408,0.299914,-0.069064,-0.236408,category_curve_artifact_candidate
qwen3,qwen3,causal,long_passive,logical,passive,False,0.877682,-0.565529,-0.480452,-0.565529,-0.231073,-0.565529,ordinary
qwen3,qwen3,causal,morphological_neg,logical,negation,False,0.989392,0.896904,0.584749,0.896904,0.806908,0.584749,residual_stable_reuse_candidate
qwen3,qwen3,causal,negated_condition,logical,logical,True,0.855712,-0.644807,-0.656090,-0.644807,-0.416384,-0.656090,ordinary
qwen3,qwen3,causal,nested_condition,logical,logical,True,0.778543,-0.658296,-0.777975,-0.658296,-0.602339,-0.777975,ordinary
qwen3,qwen3,causal,nested_contrast,logical,logical,True,0.717565,-0.669047,-0.815762,-0.669047,-0.608658,-0.815762,ordinary
qwen3,qwen3,causal,nested_passive,logical,passive,False,0.839587,-0.593373,-0.630525,-0.593373,-0.347235,-0.630525,ordinary
qwen3,qwen3,causal,never,logical,negation,False,0.958672,0.507377,0.071822,0.507377,0.275314,0.071822,ordinary
qwen3,qwen3,causal,no_agent,logical,passive,False,0.983294,0.845612,0.754001,0.845612,0.749113,0.754001,residual_stable_reuse_candidate
qwen3,qwen3,causal,past_simple,logical,tense,False,0.928220,0.132228,0.435223,0.132228,0.663801,0.132228,ordinary
qwen3,qwen3,causal,perfect,logical,tense,False,0.889607,-0.345572,-0.280691,-0.345572,-0.005523,-0.345572,ordinary
qwen3,qwen3,causal,poetic,logical,style,False,0.894440,-0.384902,-0.068929,-0.384902,-0.116392,-0.384902,ordinary
qwen3,qwen3,causal,possessive_chain,logical,recursive,False,0.887851,0.063255,0.273944,0.063255,-0.258819,0.063255,ordinary
qwen3,qwen3,causal,pp_chain,logical,recursive,False,0.913038,0.102052,0.340756,0.102052,-0.354016,0.102052,ordinary
qwen3,qwen3,causal,progressive,logical,tense,False,0.889931,-0.413405,-0.442234,-0.413405,-0.044826,-0.442234,ordinary
qwen3,qwen3,causal,relative_clause,logical,recursive,False,0.881374,0.057952,0.245113,0.057952,-0.391727,0.057952,ordinary
qwen3,qwen3,causal,scope_quantifier,logical,negation,False,0.951683,0.436808,-0.141642,0.436808,-0.029020,-0.141642,category_curve_artifact_candidate
qwen3,qwen3,causal,she_coref,logical,coreference,False,0.913842,0.051284,0.355006,0.051284,0.339073,0.051284,model_curve_artifact_candidate
qwen3,qwen3,causal,syntactic_do_not,logical,negation,False,0.873231,0.032374,-0.462894,0.032374,-0.261822,-0.462894,ordinary
qwen3,qwen3,causal,target_language_switch,logical,translation,False,0.896606,-0.068296,0.009109,-0.068296,0.289255,-0.068296,ordinary
qwen3,qwen3,causal,they_coref,logical,coreference,False,0.862720,-0.097927,0.011540,-0.097927,0.064938,-0.097927,ordinary
qwen3,qwen3,center_embedding,complement_clause,recursive,recursive,True,0.890171,0.231594,0.105601,0.231594,0.321846,0.105601,ordinary
qwen3,qwen3,center_embedding,concise,recursive,style,False,0.416596,-0.278400,-0.328345,-0.278400,-0.402349,-0.328345,stable_differentiation_candidate
qwen3,qwen3,center_embedding,conditional,recursive,logical,False,0.810228,-0.562736,-0.471158,-0.562736,-0.454969,-0.562736,ordinary
qwen3,qwen3,center_embedding,contrast,recursive,logical,False,0.777248,-0.689608,-0.491009,-0.689608,-0.455645,-0.689608,ordinary
qwen3,qwen3,center_embedding,dative_passive,recursive,passive,False,0.870039,-0.139152,-0.539506,-0.139152,0.111862,-0.539506,ordinary
qwen3,qwen3,center_embedding,deep_complement,recursive,recursive,True,0.828202,0.200674,-0.028381,0.200674,-0.009880,-0.028381,ordinary
qwen3,qwen3,center_embedding,deictic_switch,recursive,coreference,False,0.898482,0.125618,0.578993,0.125618,0.098239,0.125618,ordinary
qwen3,qwen3,center_embedding,double_relative,recursive,recursive,True,0.741353,-0.456278,-0.331049,-0.456278,-0.519650,-0.456278,ordinary
qwen3,qwen3,center_embedding,en_fr_phrase,recursive,translation,False,0.884670,-0.009363,-0.086649,-0.009363,-0.067908,-0.086649,ordinary
qwen3,qwen3,center_embedding,en_fr_word,recursive,translation,False,0.913425,0.279202,0.342077,0.279202,0.139437,0.279202,ordinary
qwen3,qwen3,center_embedding,en_zh_phrase,recursive,translation,False,0.924304,0.420270,0.530430,0.420270,0.268475,0.420270,residual_stable_reuse_candidate
qwen3,qwen3,center_embedding,en_zh_word,recursive,translation,False,0.887828,-0.007557,-0.097285,-0.007557,-0.226594,-0.097285,ordinary
qwen3,qwen3,center_embedding,existential_no,recursive,negation,False,0.868348,-0.052650,-0.068165,-0.052650,0.128804,-0.068165,ordinary
qwen3,qwen3,center_embedding,formal,recursive,style,False,0.911386,0.264690,0.383946,0.264690,0.057017,0.264690,ordinary
qwen3,qwen3,center_embedding,future_will,recursive,tense,False,0.926274,0.377548,0.091932,0.377548,0.214926,0.091932,ordinary
qwen3,qwen3,center_embedding,get_passive,recursive,passive,False,0.873956,0.166031,-0.316920,0.166031,0.288474,-0.316920,ordinary
qwen3,qwen3,center_embedding,he_coref,recursive,coreference,False,0.830346,-0.092397,0.250244,-0.092397,-0.224133,-0.092397,ordinary
qwen3,qwen3,center_embedding,inference,recursive,logical,False,0.792040,-0.634158,-0.517978,-0.634158,-0.485752,-0.634158,ordinary
qwen3,qwen3,center_embedding,it_coref,recursive,coreference,False,0.652941,-0.318010,-0.370384,-0.318010,-0.436722,-0.370384,stable_differentiation_candidate
qwen3,qwen3,center_embedding,lexical_not_adj,recursive,negation,False,0.883440,0.071766,0.005866,0.071766,0.166092,0.005866,ordinary
qwen3,qwen3,center_embedding,long_passive,recursive,passive,False,0.961420,0.725536,0.610366,0.725536,0.579186,0.610366,residual_stable_reuse_candidate
qwen3,qwen3,center_embedding,morphological_neg,recursive,negation,False,0.778255,-0.675776,-0.455324,-0.675776,-0.571124,-0.675776,ordinary
qwen3,qwen3,center_embedding,negated_condition,recursive,logical,False,0.956705,0.676714,0.680633,0.676714,0.570455,0.676714,residual_stable_reuse_candidate
qwen3,qwen3,center_embedding,nested_condition,recursive,logical,False,0.953325,0.722984,0.579133,0.722984,0.501924,0.579133,residual_stable_reuse_candidate
qwen3,qwen3,center_embedding,nested_contrast,recursive,logical,False,0.886554,0.471110,0.199552,0.471110,0.226732,0.199552,ordinary
qwen3,qwen3,center_embedding,nested_passive,recursive,passive,False,0.958232,0.699558,0.618153,0.699558,0.539208,0.618153,residual_stable_reuse_candidate
qwen3,qwen3,center_embedding,never,recursive,negation,False,0.875200,-0.094122,-0.131697,-0.094122,0.138147,-0.131697,ordinary
qwen3,qwen3,center_embedding,no_agent,recursive,passive,False,0.774825,-0.645521,-0.545130,-0.645521,-0.500467,-0.645521,ordinary
qwen3,qwen3,center_embedding,past_simple,recursive,tense,False,0.871616,-0.131777,-0.300442,-0.131777,-0.303009,-0.300442,ordinary
qwen3,qwen3,center_embedding,perfect,recursive,tense,False,0.929128,0.413416,0.276934,0.413416,0.277120,0.276934,residual_stable_reuse_candidate
qwen3,qwen3,center_embedding,poetic,recursive,style,False,0.917772,0.275962,0.356101,0.275962,0.134429,0.275962,ordinary
qwen3,qwen3,center_embedding,possessive_chain,recursive,recursive,True,0.850464,0.012994,-0.307332,0.012994,0.115248,-0.307332,ordinary
